Date,Vendor/Service,Description,Budget Category,Amount,Receipt Reference,Notes
MM/DD/YYYY,Anthropic,Claude API usage for AI chat platform,Infrastructure Costs,$0.00,Receipt-XXXX-XXXX-XXXX.pdf,
MM/DD/YYYY,Google Cloud Platform,Server hosting and cloud services,Infrastructure Costs,$0.00,GCP MM.DD.YYYY.pdf,
MM/DD/YYYY,OpenAI,GPT API usage for chat functionality,Infrastructure Costs,$0.00,Receipt-XXXX-XXXX.pdf,
MM/DD/YYYY,Sentry,Error monitoring and logging service,Infrastructure Costs,$0.00,sentry-cullen-lab-YYYY-MM-DD.pdf,
MM/DD/YYYY,Twilio,SMS/communication services,Infrastructure Costs,$0.00,Twilio Month YYYY.pdf,
,,,,,,
,,,SUBTOTAL - Infrastructure Costs:,=$E$2:$E$6,,
,,,,,,
,,Additional Budget Categories:,,,,
MM/DD/YYYY,Vendor Name,Description,Empirical Studies,$0.00,Receipt filename,
MM/DD/YYYY,Vendor Name,Description,Mobile App Development,$0.00,Receipt filename,
MM/DD/YYYY,Vendor Name,Description,AI Fine-tuning and Optimization,$0.00,Receipt filename,
MM/DD/YYYY,Vendor Name,Description,Website Enhancements,$0.00,Receipt filename,
MM/DD/YYYY,Vendor Name,Description,Open-access Publication Fees,$0.00,Receipt filename,
MM/DD/YYYY,Vendor Name,Description,Insurance,$0.00,Receipt filename,
MM/DD/YYYY,Vendor Name,Description,Legal Fees,$0.00,Receipt filename,
,,,,,,
,,,TOTAL EXPENSES:,=$E$7,,
